source,target,weight
MOp1 left,MOp1 left,57.6162838540261
MOp1 left,MOs1 left,12.2669032264981
MOp1 left,SSp-n1 left,0.488687075304831
MOp1 left,SSp-bfd1 left,0.188489453584667
MOp1 left,SSp-ll1 left,0.0684291563446188
MOp1 left,SSp-m1 left,3.41554832971434
MOp1 left,SSp-ul1 left,0.944116196156104
MOp1 left,SSp-tr1 left,0.0214234104046243
MOp1 left,SSp-un1 left,0.0948988112544768
MOp1 left,VISam1 left,0.025
MOp1 left,RSPagl1 left,0.0462582576383154
MOp1 left,RSPd1 left,0.0892392650701899
MOp1 left,VISa1 left,0.0329479768786127
MOp1 left,MOB left,0.363946331543952
MOp1 right,MOp1 right,63.7861121052764
MOp1 right,MOs1 right,10.8399691371052
MOp1 right,SSp-n1 right,0.374795501300969
MOp1 right,SSp-bfd1 right,0.548246614051079
MOp1 right,SSp-ll1 right,0.231172246227061
MOp1 right,SSp-m1 right,3.01971189915254
MOp1 right,SSp-ul1 right,0.535150963004236
MOp1 right,SSp-tr1 right,0.0182959401709402
MOp1 right,SSp-un1 right,0.0336425303976652
MOp1 right,SSs1 right,0.00342176598675732
MOp1 right,VISal1 right,0.00231481481481481
MOp1 right,VISam1 right,0.00636574074074074
MOp1 right,VISp1 right,0.047337962962963
MOp1 right,VISpm1 right,0.0109953703703704
MOp1 right,RSPagl1 right,0.0954861111111111
MOp1 right,RSPd1 right,0.0042018921095008
MOp1 right,VISa1 right,0.00173611111111111
MOp1 right,VISrl1 right,0.000578703703703704
MOp1 right,MOB right,0.152261112588396
MOs1 left,MOp1 left,9.57525797407732
MOs1 left,MOs1 left,146.838739198045
MOs1 left,SSp-n1 left,0.600892162177596
MOs1 left,SSp-bfd1 left,0.314335392909329
MOs1 left,SSp-m1 left,0.918386350078342
MOs1 left,SSp-ul1 left,0.445095229267445
MOs1 left,SSp-un1 left,0.0615101537778102
MOs1 left,VISam1 left,0.0257352941176471
MOs1 left,VISp1 left,0.0735294117647059
MOs1 left,VISpm1 left,0.0110294117647059
MOs1 left,RSPagl1 left,0.046875
MOs1 left,VISrl1 left,0.00657894736842105
MOs1 left,MOB left,1.03235110694457
